,addressStreet,addressCity,addressState,addressZipCode,bikesAvailable,closeTime,docksAvailable,eventEnd,eventStart,isEventBased,isVirtual,isVisible,kioskId,kioskPublicStatus,kioskStatus,kioskUnresponsiveTime,name,notes,openTime,publicText,timeZone,totalDocks,trikesAvailable,kioskConnectionStatus,kioskType,latitude,longitude,hasGeofence,classicBikesAvailable,smartBikesAvailable,electricBikesAvailable,isArchived,clientVersion,geometry
0,700 Flower St,DTLA,CA,90017,10,05:44:00,21,,,False,False,False,3005,Active,FullService,,7th & Flower,,05:45:00,,Pacific Standard Time,31,0,Active,1,34.0485,-118.25854,False,10,0,0,False,2.174.257,POINT (-118.25854 34.0485)
1,729 S Olive Street,DTLA,CA,90014,15,05:44:00,16,,,False,False,False,3006,Active,FullService,,Olive & 8th,,05:45:00,,Pacific Standard Time,31,0,Active,1,34.04554,-118.25667,False,15,0,0,False,2.174.257,POINT (-118.25667 34.04554)
2,557 S 5th Street,DTLA,CA,90071,7,05:44:00,16,,,False,False,False,3007,Active,FullService,,5th & Grand,,05:45:00,,Pacific Standard Time,23,0,Active,1,34.05048,-118.25459,False,7,0,0,False,2.174.257,POINT (-118.25459 34.05048)
3,865 S Figueroa Street,DTLA,CA,90017,8,05:44:00,7,,,False,False,False,3008,Active,FullService,,Figueroa & 9th,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.04661,-118.26273,False,7,0,1,False,2.174.257,POINT (-118.26273 34.04661)
4,401 East 11th Street,DTLA,CA,90015,9,05:44:00,6,,,False,False,False,3010,Active,FullService,,11th & Maple,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.03705,-118.25487,False,8,0,1,False,2.174.257,POINT (-118.25487 34.03705)
5,1259-1299 S Figueroa Street,DTLA,CA,90015,12,05:44:00,7,,,False,False,False,3011,Active,FullService,,Figueroa & Pico,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.04113,-118.26798,False,12,0,0,False,2.174.257,POINT (-118.26798 34.04113)
6,834 N Alameda St,Chinatown,CA,90012,22,05:44:00,10,,,False,False,False,3014,Active,FullService,,Union Station West Portal,,05:45:00,,Pacific Standard Time,33,0,Active,1,34.05661,-118.23721,False,21,0,1,False,2.174.257,POINT (-118.23721 34.05661)
7,201 N Los Angeles Street,DTLA,CA,90012,10,05:44:00,19,,,False,False,False,3016,Active,FullService,,Los Angeles & Temple,,05:45:00,,Pacific Standard Time,30,0,Active,1,34.0529,-118.24156,False,9,0,1,False,2.174.257,POINT (-118.24156 34.0529)
8,919 S Grand Ave.,DTLA,CA,90015,9,05:44:00,9,,,False,False,False,3018,Active,FullService,,Grand & Olympic,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.04373,-118.26014,False,6,0,3,False,2.174.257,POINT (-118.26014 34.04373)
9,129 W 12th Street,DTLA,CA,90015,8,05:44:00,11,,,False,False,False,3019,Active,FullService,,12th & Hill,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.03861,-118.26086,False,7,0,1,False,2.174.257,POINT (-118.26086 34.03861)
10,1950 S Hill Street,DTLA,CA,90007,11,05:44:00,10,,,False,False,False,3020,Active,FullService,,Hill & Washington,,05:45:00,,Pacific Standard Time,21,0,Active,1,34.03105,-118.26709,False,11,0,0,False,2.174.257,POINT (-118.26709 34.03105)
11,999 E Third Street,DTLA,CA,90013,14,05:44:00,12,,,False,False,False,3022,Active,FullService,,3rd & Santa Fe,,05:45:00,,Pacific Standard Time,26,0,Active,1,34.04607,-118.23309,False,13,0,1,False,2.174.257,POINT (-118.23309 34.04607)
